wdur,twdur,age,jobno2,single,hrswk,size,marri,female,white,rhrpay2,ind_pub,highsch,graduate,hrswk_sq
101,101,18,1,1,20,10,"Never-married",1,0,274,0,1,0,400
8,109,18,2,0,28,3,"Never-married",1,0,409,1,1,0,784
20,20,23,1,1,35,200,"Never-married",0,1,450,1,0,1,1225
221,241,27,2,1,40,100,"Never-married",0,1,841,0,0,1,1600
148,145,31,2,0,70,-2,"Married",0,1,564,1,0,1,4900
56,89,25,2,0,40,500,"Never-married",1,0,393,1,0,1,1600
318,318,29,1,0,40,1000,"Never-married",0,0,1064,0,0,1,1600
19,26,20,2,1,20,-2,"Never-married",1,0,231,0,1,0,400
13,265,28,10,1,23,15,-3,1,0,245,0,1,0,529
35,300,28,11,1,14,-4,-3,1,0,472,0,1,0,196
72,395,31,14,1,40,-4,"Married",1,0,399,0,1,0,1600
44,272,30,7,0,40,23,"Never-married",1,0,233,1,0,0,1600
9,9,19,1,0,15,100,"Never-married",1,0,289,0,1,0,225
13,64,19,2,0,40,10,"Never-married",0,0,242,0,1,0,1600
41,41,23,1,0,40,10,"Never-married",1,1,473,0,1,0,1600
75,150,24,1,1,40,10,"Never-married",1,1,446,0,1,0,1600
95,95,22,1,1,18,500,"Never-married",0,1,504,1,0,1,324
56,173,24,3,1,41,100,"Never-married",0,1,684,0,0,1,1681
236,409,29,4,1,45,100,"Married",0,1,1210,0,0,1,2025
9,9,19,1,1,40,-4,"Never-married",0,0,231,0,1,0,1600
6,75,21,6,1,40,-4,"Never-married",0,0,302,0,1,0,1600
23,98,21,7,1,40,15,"Never-married",0,0,302,0,1,0,1600
75,398,27,10,1,45,20,"Married",0,0,505,0,1,0,2025
18,416,28,11,1,45,12,"Married",0,0,601,0,1,0,2025
27,183,22,5,0,50,1,"Never-married",1,1,74,0,0,0,2500
126,126,21,1,0,40,140,"Never-married",1,0,539,0,1,0,1600
35,293,24,3,1,40,15,"Married",1,0,476,0,1,0,1600
81,374,26,4,1,40,60,"Married",1,0,276,1,1,0,1600
17,17,25,1,0,15,70,"Never-married",1,1,276,0,0,1,225
165,220,26,2,0,70,500,"Never-married",1,1,797,1,0,1,4900
27,66,24,2,0,9,45,"Never-married",0,1,360,0,0,1,81
